REGION_CODE,REGION_NAME,YEAR,MONTH,ZONE,AVG_TEMP_C,MAX_TEMP_C,MIN_TEMP_C,TEMP_RANGE_C,PRECIPITATION_MM,RAIN_DAYS,HEAVY_RAIN_DAYS,DROUGHT_INDEX,ELEVATION_M,DISTANCE_TO_COAST_KM
AR,Arusha,2011,9,Northern,20.82,23.42,18.59,4.82,128.1,1,0,1.44,920.2,469.3
AR,Arusha,2011,10,Northern,21.32,24.11,18.78,5.33,238.2,2,0,1.69,920.2,469.3
AR,Arusha,2011,11,Northern,21.82,24.8,18.85,5.95,403.3,2,0,1.8,920.2,469.3
AR,Arusha,2011,12,Northern,22.02,24.87,20.26,4.61,513.4,10,1,1.83,920.2,469.3
AR,Arusha,2012,1,Northern,24.1,25.69,21.33,4.37,814.2,11,0,0.0,920.2,469.3
AR,Arusha,2012,2,Northern,24.3,29.13,21.33,7.8,714.7,8,1,0.0,920.2,469.3
AR,Arusha,2012,3,Northern,23.8,26.88,21.05,5.83,1212.3,17,6,0.0,920.2,469.3
AR,Arusha,2012,4,Northern,23.1,26.97,21.02,5.95,1510.9,18,4,0.0,920.2,469.3
AR,Arusha,2012,5,Northern,22.1,24.08,19.34,4.75,1013.3,16,1,0.0,920.2,469.3
AR,Arusha,2012,6,Northern,21.6,24.22,20.1,4.12,316.6,6,0,0.0,920.2,469.3
AR,Arusha,2012,7,Northern,21.1,24.24,18.45,5.79,117.5,3,0,0.0,920.2,469.3
AR,Arusha,2012,8,Northern,21.6,27.67,18.62,9.06,117.5,2,0,0.0,920.2,469.3
AR,Arusha,2012,9,Northern,22.6,25.24,18.97,6.27,217.0,5,0,0.0,920.2,469.3
AR,Arusha,2012,10,Northern,23.1,26.0,19.11,6.89,416.1,5,0,0.0,920.2,469.3
AR,Arusha,2012,11,Northern,23.6,27.86,20.84,7.02,714.7,8,1,0.0,920.2,469.3
AR,Arusha,2012,12,Northern,23.8,27.25,20.85,6.4,913.7,13,3,0.0,920.2,469.3
AR,Arusha,2013,1,Northern,23.72,26.87,20.99,5.88,701.8,8,0,0.13,920.2,469.3
AR,Arusha,2013,2,Northern,23.92,26.24,21.28,4.96,616.3,10,0,0.11,920.2,469.3
AR,Arusha,2013,3,Northern,23.42,26.74,21.09,5.66,1043.7,14,2,0.17,920.2,469.3
AR,Arusha,2013,4,Northern,22.72,24.6,20.16,4.45,1300.1,23,3,0.18,920.2,469.3
AR,Arusha,2013,5,Northern,21.72,25.11,18.58,6.54,872.7,18,4,0.15,920.2,469.3
AR,Arusha,2013,6,Northern,21.22,24.27,18.23,6.04,274.4,4,1,0.0,920.2,469.3
AR,Arusha,2013,7,Northern,20.72,24.29,17.83,6.46,103.4,1,0,0.0,920.2,469.3
AR,Arusha,2013,8,Northern,21.22,24.44,18.63,5.81,103.4,3,0,0.0,920.2,469.3
AR,Arusha,2013,9,Northern,22.22,26.06,19.36,6.7,188.9,3,0,0.0,920.2,469.3
AR,Arusha,2013,10,Northern,22.72,25.43,18.38,7.05,359.9,5,0,0.0,920.2,469.3
AR,Arusha,2013,11,Northern,23.22,25.65,21.4,4.24,616.3,5,2,0.11,920.2,469.3
AR,Arusha,2013,12,Northern,23.42,27.02,20.22,6.8,787.2,19,2,0.14,920.2,469.3
AR,Arusha,2014,1,Northern,24.38,26.26,21.1,5.16,1064.9,14,4,0.0,920.2,469.3
AR,Arusha,2014,2,Northern,24.58,27.1,21.61,5.49,934.1,12,2,0.0,920.2,469.3
AR,Arusha,2014,3,Northern,24.08,28.23,19.38,8.85,1588.4,25,4,0.0,920.2,469.3
AR,Arusha,2014,4,Northern,23.38,26.9,20.43,6.47,1981.0,18,9,0.0,920.2,469.3
AR,Arusha,2014,5,Northern,22.38,25.08,18.86,6.23,1326.7,19,7,0.0,920.2,469.3
AR,Arusha,2014,6,Northern,21.88,24.6,19.5,5.1,410.6,5,0,0.0,920.2,469.3
AR,Arusha,2014,7,Northern,21.38,25.28,17.9,7.38,148.8,2,0,0.0,920.2,469.3
AR,Arusha,2014,8,Northern,21.88,24.98,18.92,6.06,148.8,3,0,0.0,920.2,469.3
AR,Arusha,2014,9,Northern,22.88,26.04,21.72,4.32,279.7,1,0,0.0,920.2,469.3
AR,Arusha,2014,10,Northern,23.38,27.35,19.03,8.32,541.4,7,1,0.0,920.2,469.3
AR,Arusha,2014,11,Northern,23.88,26.19,21.06,5.13,934.1,13,5,0.0,920.2,469.3
AR,Arusha,2014,12,Northern,24.08,28.22,21.16,7.06,1195.8,15,1,0.0,920.2,469.3
AR,Arusha,2015,1,Northern,24.44,27.19,21.48,5.71,589.5,8,0,0.91,920.2,469.3
AR,Arusha,2015,2,Northern,24.64,26.94,21.84,5.1,518.1,5,1,0.89,920.2,469.3
AR,Arusha,2015,3,Northern,24.14,26.44,21.31,5.14,875.3,16,0,0.95,920.2,469.3
AR,Arusha,2015,4,Northern,23.44,27.37,18.5,8.88,1089.6,14,1,0.96,920.2,469.3
AR,Arusha,2015,5,Northern,22.44,26.34,21.47,4.87,732.4,13,3,0.93,920.2,469.3
AR,Arusha,2015,6,Northern,21.94,23.61,19.96,3.65,232.3,2,0,0.7,920.2,469.3
AR,Arusha,2015,7,Northern,21.44,23.87,18.27,5.6,89.4,0,0,0.03,920.2,469.3
AR,Arusha,2015,8,Northern,21.94,26.11,19.51,6.6,89.4,2,0,0.03,920.2,469.3
AR,Arusha,2015,9,Northern,22.94,26.11,19.35,6.77,160.8,1,0,0.53,920.2,469.3
AR,Arusha,2015,10,Northern,23.44,25.66,21.66,4.0,303.7,6,0,0.78,920.2,469.3
AR,Arusha,2015,11,Northern,23.94,26.13,21.16,4.97,518.1,6,2,0.89,920.2,469.3
AR,Arusha,2015,12,Northern,24.14,26.86,21.33,5.53,661.0,5,0,0.92,920.2,469.3
AR,Arusha,2016,1,Northern,23.11,25.93,19.98,5.95,520.3,12,1,1.39,920.2,469.3
AR,Arusha,2016,2,Northern,23.31,25.33,20.93,4.39,457.5,7,0,1.37,920.2,469.3
AR,Arusha,2016,3,Northern,22.81,25.51,18.58,6.93,771.4,12,2,1.43,920.2,469.3
AR,Arusha,2016,4,Northern,22.11,24.7,18.42,6.29,959.8,12,0,1.45,920.2,469.3
AR,Arusha,2016,5,Northern,21.11,25.31,18.29,7.02,645.9,6,1,1.41,920.2,469.3
AR,Arusha,2016,6,Northern,20.61,23.36,16.72,6.64,206.3,2,0,1.18,920.2,469.3
AR,Arusha,2016,7,Northern,20.11,23.05,17.79,5.26,80.7,1,0,0.51,920.2,469.3
AR,Arusha,2016,8,Northern,20.61,23.71,16.93,6.78,80.7,1,0,0.51,920.2,469.3
AR,Arusha,2016,9,Northern,21.61,25.0,18.99,6.01,143.5,0,0,1.01,920.2,469.3
AR,Arusha,2016,10,Northern,22.11,24.71,19.51,5.2,269.1,3,0,1.26,920.2,469.3
AR,Arusha,2016,11,Northern,22.61,24.86,20.6,4.26,457.5,5,1,1.37,920.2,469.3
AR,Arusha,2016,12,Northern,22.81,25.71,20.17,5.53,583.1,9,0,1.4,920.2,469.3
AR,Arusha,2017,1,Northern,22.74,25.46,17.86,7.6,940.7,14,3,0.0,920.2,469.3
AR,Arusha,2017,2,Northern,22.94,25.17,20.0,5.16,825.4,13,2,0.0,920.2,469.3
AR,Arusha,2017,3,Northern,22.44,26.1,17.24,8.86,1402.1,18,3,0.0,920.2,469.3
AR,Arusha,2017,4,Northern,21.74,24.62,17.41,7.21,1748.2,21,8,0.0,920.2,469.3
AR,Arusha,2017,5,Northern,20.74,23.66,18.4,5.26,1171.4,16,4,0.0,920.2,469.3
AR,Arusha,2017,6,Northern,20.24,23.07,17.46,5.61,364.0,5,0,0.0,920.2,469.3
AR,Arusha,2017,7,Northern,19.74,23.12,17.12,6.0,133.3,4,0,0.0,920.2,469.3
AR,Arusha,2017,8,Northern,20.24,23.51,17.61,5.9,133.3,1,0,0.0,920.2,469.3
AR,Arusha,2017,9,Northern,21.24,24.43,17.7,6.73,248.7,3,0,0.0,920.2,469.3
AR,Arusha,2017,10,Northern,21.74,23.59,18.76,4.83,479.3,5,2,0.0,920.2,469.3
AR,Arusha,2017,11,Northern,22.24,25.69,19.37,6.32,825.4,8,1,0.0,920.2,469.3
AR,Arusha,2017,12,Northern,22.44,24.86,18.72,6.14,1056.1,12,2,0.0,920.2,469.3
AR,Arusha,2018,1,Northern,22.95,26.11,18.88,7.23,401.3,13,4,2.21,920.2,469.3
AR,Arusha,2018,2,Northern,23.15,26.76,19.65,7.12,353.4,7,1,2.2,920.2,469.3
AR,Arusha,2018,3,Northern,22.65,25.42,19.93,5.49,593.0,7,0,2.25,920.2,469.3
AR,Arusha,2018,4,Northern,21.95,24.3,20.14,4.17,736.8,7,0,2.27,920.2,469.3
AR,Arusha,2018,5,Northern,20.95,22.9,15.4,7.49,497.2,7,0,2.24,920.2,469.3
AR,Arusha,2018,6,Northern,20.45,25.57,17.01,8.56,161.7,2,0,2.01,920.2,469.3
AR,Arusha,2018,7,Northern,19.95,22.06,17.85,4.21,65.9,1,0,1.34,920.2,469.3
AR,Arusha,2018,8,Northern,20.45,23.71,17.43,6.28,65.9,0,0,1.34,920.2,469.3
AR,Arusha,2018,9,Northern,21.45,23.42,18.88,4.54,113.8,1,0,1.84,920.2,469.3
AR,Arusha,2018,10,Northern,21.95,25.28,17.46,7.82,209.6,0,0,2.09,920.2,469.3
AR,Arusha,2018,11,Northern,22.45,26.18,20.72,5.46,353.4,5,0,2.2,920.2,469.3
AR,Arusha,2018,12,Northern,22.65,25.81,18.57,7.24,449.3,5,0,2.23,920.2,469.3
AR,Arusha,2019,1,Northern,24.75,27.15,22.91,4.24,554.0,10,1,1.15,920.2,469.3
AR,Arusha,2019,2,Northern,24.95,28.52,22.06,6.46,487.0,3,0,1.13,920.2,469.3
AR,Arusha,2019,3,Northern,24.45,27.23,21.29,5.94,822.1,12,2,1.19,920.2,469.3
AR,Arusha,2019,4,Northern,23.75,27.54,19.79,7.75,1023.1,14,4,1.21,920.2,469.3
AR,Arusha,2019,5,Northern,22.75,24.57,18.17,6.4,688.0,7,0,1.18,920.2,469.3
AR,Arusha,2019,6,Northern,22.25,24.6,20.25,4.36,219.0,3,0,0.94,920.2,469.3
AR,Arusha,2019,7,Northern,21.75,25.52,19.41,6.11,85.0,1,0,0.28,920.2,469.3
AR,Arusha,2019,8,Northern,22.25,24.35,18.77,5.59,85.0,2,0,0.28,920.2,469.3
AR,Arusha,2019,9,Northern,23.25,27.52,21.39,6.12,152.0,0,0,0.78,920.2,469.3
AR,Arusha,2019,10,Northern,23.75,26.84,20.15,6.69,286.0,5,3,1.03,920.2,469.3
AR,Arusha,2019,11,Northern,24.25,27.22,20.93,6.29,487.0,8,0,1.13,920.2,469.3
AR,Arusha,2019,12,Northern,24.45,27.87,22.92,4.95,621.0,13,0,1.17,920.2,469.3
AR,Arusha,2020,1,Northern,24.08,26.55,20.77,5.78,794.7,14,1,0.0,920.2,469.3
AR,Arusha,2020,2,Northern,24.28,26.28,21.33,4.95,697.6,10,1,0.0,920.2,469.3
AR,Arusha,2020,3,Northern,23.78,26.0,20.19,5.81,1183.1,16,5,0.0,920.2,469.3
AR,Arusha,2020,4,Northern,23.08,25.94,20.13,5.8,1474.4,21,9,0.0,920.2,469.3
AR,Arusha,2020,5,Northern,22.08,25.99,19.04,6.95,988.9,14,1,0.0,920.2,469.3
AR,Arusha,2020,6,Northern,21.58,24.73,19.44,5.29,309.2,2,0,0.0,920.2,469.3
AR,Arusha,2020,7,Northern,21.08,24.63,17.62,7.01,115.0,0,0,0.0,920.2,469.3
AR,Arusha,2020,8,Northern,21.58,26.04,18.73,7.31,115.0,1,0,0.0,920.2,469.3
AR,Arusha,2020,9,Northern,22.58,24.66,19.75,4.92,212.1,4,0,0.0,920.2,469.3
AR,Arusha,2020,10,Northern,23.08,25.49,19.94,5.55,406.3,8,1,0.0,920.2,469.3
AR,Arusha,2020,11,Northern,23.58,26.02,19.82,6.2,697.6,13,1,0.0,920.2,469.3
AR,Arusha,2020,12,Northern,23.78,27.58,20.97,6.61,891.8,14,4,0.0,920.2,469.3
AR,Arusha,2021,1,Northern,23.99,27.03,21.66,5.37,540.4,7,2,1.25,920.2,469.3
AR,Arusha,2021,2,Northern,24.19,26.93,21.23,5.7,475.1,5,0,1.23,920.2,469.3
AR,Arusha,2021,3,Northern,23.69,25.36,19.11,6.25,801.7,12,3,1.29,920.2,469.3
AR,Arusha,2021,4,Northern,22.99,25.8,20.61,5.18,997.6,12,2,1.31,920.2,469.3
AR,Arusha,2021,5,Northern,21.99,25.69,18.81,6.88,671.1,6,0,1.27,920.2,469.3
